2016-10-03 14:15:02,281 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/test/resources
2016-10-03 14:15:04,946 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:15:04,949 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/main/resources
2016-10-03 14:15:04,950 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:15:04,954 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/test/resources
2016-10-03 14:17:21,627 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:17:21,631 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/main/resources
2016-10-03 14:17:21,634 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:17:21,638 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/test/resources
2016-10-03 14:20:47,693 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:20:47,699 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/main/resources
2016-10-03 14:20:47,700 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:20:47,706 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/test/resources
2016-10-03 14:20:50,755 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:20:50,758 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/main/resources
2016-10-03 14:20:50,761 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-03 14:20:50,765 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsafj/github/LEDA/prova03/PP3-01-Prova-AVLTreeVerifier-environment/src/test/resources
